pay_range,Avg Pay,Acceptance Rate,pay_range lower,pay_range upper,pay_range center,Revenue,Profit,Accepted Rides,Ride Requests,Profit/Ride,Profit/Request
"(-0.001, 2.0]",0.268,0.0,0,2,1.0,0.0,0.0,0,10,,0.0
"(2.0, 4.0]",3.579,0.0,2,4,3.0,0.0,0.0,0,3,,0.0
"(4.0, 6.0]",4.971,0.125,4,6,5.0,5.4,24.6,1,8,24.6,3.075
"(6.0, 8.0]",6.935,0.0,6,8,7.0,0.0,0.0,0,16,,0.0
"(8.0, 10.0]",9.077,0.042,8,10,9.0,9.0,21.0,1,24,21.0,0.875
"(10.0, 12.0]",11.026,0.034,10,12,11.0,11.59,18.41,1,29,18.41,0.635
"(12.0, 14.0]",13.085,0.049,12,14,13.0,25.21,34.79,2,41,17.395,0.849
"(14.0, 16.0]",14.979,0.067,14,16,15.0,45.78,44.22,3,45,14.74,0.983
"(16.0, 18.0]",16.864,0.091,16,18,17.0,67.75,52.25,4,44,13.062,1.188
"(18.0, 20.0]",18.915,0.193,18,20,19.0,208.64,121.36,11,57,11.033,2.129
"(20.0, 22.0]",20.947,0.221,20,22,21.0,402.53,167.47,19,86,8.814,1.947
"(22.0, 24.0]",23.035,0.333,22,24,23.0,532.12,157.88,23,69,6.864,2.288
"(24.0, 26.0]",24.936,0.535,24,26,25.0,1148.95,231.05,46,86,5.023,2.687
"(26.0, 28.0]",26.939,0.7,26,28,27.0,1319.94,150.06,49,70,3.062,2.144
"(28.0, 30.0]",29.075,0.785,28,30,29.0,1485.52,44.48,51,65,0.872,0.684
"(30.0, 32.0]",30.878,0.753,30,32,31.0,1697.53,-47.53,55,73,-0.864,-0.651
"(32.0, 34.0]",33.065,0.933,32,34,33.0,1853.49,-173.49,56,60,-3.098,-2.892
"(34.0, 36.0]",34.922,0.963,34,36,35.0,1815.71,-255.71,52,54,-4.918,-4.735
"(36.0, 38.0]",36.91,0.915,36,38,37.0,1585.33,-295.33,43,47,-6.868,-6.284
"(38.0, 40.0]",38.831,0.973,38,40,39.0,1398.4,-318.4,36,37,-8.844,-8.605
"(40.0, 42.0]",40.737,0.96,40,42,41.0,977.95,-257.95,24,25,-10.748,-10.318
"(42.0, 44.0]",42.943,0.933,42,44,43.0,600.98,-180.98,14,15,-12.927,-12.065
"(44.0, 46.0]",45.018,1.0,44,46,45.0,540.22,-180.22,12,12,-15.018,-15.018
"(46.0, 48.0]",46.753,1.0,46,48,47.0,514.28,-184.28,11,11,-16.753,-16.753
"(48.0, 50.0]",48.64,1.0,48,50,49.0,194.56,-74.56,4,4,-18.64,-18.64
"(50.0, 52.0]",50.625,1.0,50,52,51.0,303.75,-123.75,6,6,-20.625,-20.625
"(52.0, 54.0]",53.143,1.0,52,54,53.0,159.43,-69.43,3,3,-23.143,-23.143
